title,pros,cons,overall_experience,job_title,overall_rating,employment_status,recommended,date,platform,source
Awesome and enthusiastic,Like the atmosphere for work. I.e friendly atmosphere,Wake up early for the shift.,,Storeperson,5,"Less than 1 year in the role, former employee",Recommended,10 Mar 2020,seek,amazon
Great company Amazon,Loved working at Amazon pleas call me back to work,Picking and packing loved every second being there,,Picker and Packer,5,"Less than 1 year in the role, former employee",Recommended,10 Mar 2020,seek,amazon
No consistency,Workmates were friendly,Management has no idea,,Picker,1,"Less than 1 year in the role, former employee",Not recommended,10 Mar 2020,seek,amazon
"Work hard make history, if you are in US",The perks are pretty good and the the scale of projects are is unbelievable. There are some really smart people who get things done.,"Management sometimes looses the long term goals. 
If you outside of the US than career progression will be slower ",,Engineer,3,"3 to 4 years in the role, former employee",Recommended,10 Mar 2020,seek,amazon
Awesome,Great growth opportunities and exposure had a lot to learn.,No difficulty at all.,,Seller support advisor,5,"5 to 6 years in the role, former employee",Recommended,18 Feb 2020,seek,amazon
"Overall, it's best place to work for better future.",Extremely conducive environment.,Employee have to focus and always aware about surrounding working area.,,Storeperson,4,"Less than 1 year in the role, former employee",Recommended,12 Feb 2020,seek,amazon
"It is good company, but  we need to choose our career in our interest.",Good at learning technical stuff.,Individual interest to learn new things.,,Network Support Engineer,4,"3 to 4 years in the role, current employee",Recommended,15 Jan 2020,seek,amazon
Never worked for a company that cares so much about any worker! ,"Great team, great work environment, safe work environment ",My team is under staffed at the moment but working overtime to cover it! ,,RME Technician ,5,"1 to 2 years in the role, current employee",Recommended,21 Nov 2019,seek,amazon
Amazing,Great diversity of people and talens,"Incompetent senior management. Hire people on talent,  promote people based on kissing the ring.",,Information Technology Manager,1,"3 to 4 years in the role, current employee",Not recommended,21 Nov 2019,seek,amazon
Excellent ,Friendly Environment ,It could be hard for someone you if aren’t energetic and fast paced. Otherwise it’s fine.,,Picker,5,"Less than 1 year in the role, current employee",Recommended,21 Nov 2019,seek,amazon
Amazing ,The people and also the environment is really good,Nothing really everything was easy to catch on to maybe just building up my rates ,,Packer,5,"1 to 2 years in the role, current employee",Recommended,21 Nov 2019,seek,amazon
Best warehouse job ive had,People and enviroment are great,Nothing that comes to mind,,Packer,5,"Less than 1 year in the role, current employee",Recommended,21 Nov 2019,seek,amazon
"Working at amazon has been a challenging journey, but the people make it bearable and I love it here. ",I enjoy the people. They make work an incredibly warm and friendly environment. ,"Rates. Reaching target is challenging for me especially when they have high expectations. If you’ve done it once, they will expect you to do it all the time. ",,Warehouse Worker,4,"1 to 2 years in the role, current employee",Recommended,11 Sep 2019,seek,amazon
Horrible and repenting ,It has a big name. There is nothing else to offer here.,Very partial. Very biased. Focused only to get their work done and not concerned about others,,Warehouse Assistant,1,"1 to 2 years in the role, former employee",Not recommended,11 Sep 2019,seek,amazon
"The people you work with are fun, and I made some great friends, but they need to improve management and hire through a different agency.","Made some great friends, the work was fun.",Some of the managers treat you like you’re stupid if you don’t understand their instructions the first time. The employment agency Addecco could be better as when I worked their they didn’t care at all about their employees.,,Moorebank warehouse ,4,"Less than 1 year in the role, former employee",Recommended,9 Sep 2019,seek,amazon
"they treat their employee's poorly, they have a high turn-over even when people are willing to stay in their employment, but drop you anyway","good job if you can get the hours, but because your casual they can and will  cut your shifts at will. And then stop giving you hours without explanation. And wont take your phone calls asking for hours or why your not getting any.  ",fast paced environment with high kpi's ,,Packer,1,"Less than 1 year in the role, former employee",Not recommended,9 May 2019,seek,amazon
Would not recommend to work there,The pay was really good for the work,"Worked in very extreme heat no aircon or fans at the start, metal detectors taking shoes off every time was a pain in the butt",,Studio ops,1,"Less than 1 year in the role, former employee",Not recommended,8 Feb 2018,seek,amazon
"Work Hard, Have Fun, Make History",Fantastic innovative company,"If you can't handle the pressure, don't think about joining. This is not a place for the coasters, or people who lie about their resumes",,Software Engineer,5,,Recommended,8 Feb 2018,seek,amazon
Fantastic work atmosphere,Lots of opportunities for growth and lots of smart people to work wtih,Need good time management,,Systems Development Engineer,5,"1 to 2 years in the role, current employee",Recommended,26 Jul 2017,seek,amazon
A very valuable experience.,"The pay and overtime, working with items/new product (books,cds/dvds, electronic goods), the satisfaction of being a temp.","Impossible UPH targets, bin runaround, supervisors and team leaders,  lunch break times.",,Warehouse Operative,4,"Less than 1 year in the role, former employee",Not recommended,18 Oct 2016,seek,amazon
Amazon is the company which taught me everything!,"Real opportunities of development
Rigor
Innovative and fast moving company","You need good time management
You need to work hard to evolve",,Vendor Manager,5,"3 to 4 years in the role, current employee",Recommended,12 Oct 2015,seek,amazon
"dynamic and fun, too much to do",great place,long hours,,Financial Analyst,4,,Recommended,12 Oct 2015,seek,amazon
"We, Amazonians are working hard, having fun and creating history!",Managers treating us as leaders. A great multicultural company. It's a great experience to work for global technology giant and opportunity to deal with experts who are from different parts of the world.,"As far as everything manageable, just because of trained and helpful Managers.",,Cabling Infrastructure Technician,5,,Recommended,24 Sep 2015,seek,amazon
